WatReqID,PlanningUnitID,Rationale,WReq_FISH,WReq_VEG,WReq_WBIRD,WReq_OTHER,CompliancePoint/Node,Condition,StartWateringPeriod,EndWateringPeriod,FlowComponent,BPFlowComponent,FlowMagnitude,WateringFrequency,WateringDuration,WateringDepth/height_m AHD,MaxIntervalBtwnEvents,Additional requirements/Notes
Ra_0000011,PU_0000211,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,October,January,Spring-summer modified fresh – Spring-summer hold,Fresh,Daily flow variability during the hold component not to not exceed a fall of 50 cm/day downstream of Cohuna Weir; No prescribed flow as targeting flows in lower reaches,"1 event per year, every 2 in 3 years",3.5 months hold phase,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
Ra_0000012,PU_0000211,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,January,February,Spring-summer modified fresh – Summer ramp-down,Fresh,gradual recession; No prescribed flow as targeting flows in lower reaches.,"1 event per year, every 2 in 3 years",< 1 month,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
Ra_0000013,PU_0000211,A controlled autumn drawdown is recommended each year for the entire Gunbower Creek System to mitigate the impacts of a sudden drop in water level that occurs at the end of the irrigation season. The flow aims to gradually reduce water levels by approxima,TRUE,TRUE,FALSE,TRUE,,,May,May,Autumn ramp-down,Other,Recommended to not exceed 25–50 ML/day rate of fall; Slow recession in flow rate to meet winter base flow targets (see winter base flow);,"1 event per year, every year",approx. 2 weeks,,,As per Section 6.3.1.5 (pages 74–75) and Table 22 (page 78) of Gunbower EWMP. Integrate with winter low flow.
Ra_0000014,PU_0000211,Opportunities to mimic a pulse flow event in the Murray River System should be adopted to provide a trigger for fish to recolonise the Gunbower Creek System. Recolonisation flows may occur anytime between October and April and are linked to the target val,TRUE,FALSE,FALSE,FALSE,,"Opportunistic – Parameters that may impact on the opportunity to deliver these flow components include GMW maintenance works, delivery forest, source water quality, environmental water allocations and unregulated flow conditions.",October,April,Recolonisation flow,Other,100 ML/day rate during ramp up and down to integrate with preceding and proceeding flows; No prescribed flow as targeting flows in lower reaches,Opportunistic events,5–15 days,,,Triggered by pulse @ Torrumbarry.—Flow in response to Murray River pulse (i.e. piggy back on rain rejection event).—As per Section 6.3.1.5 (page 75) and Table 22 (page 78) of Gunbower EWMP.
Ra_0000015,PU_0000211,"Supporting native fish survival and condition, playtpus feeding and survival, connectivity/movement/flow of biota and nutrients, supporting aquatic plants and biofilms.",TRUE,TRUE,FALSE,TRUE,,,May,August,Winter base flow,Base flow,Vary the magnitude of flows to match natural conditions; No prescribed flow as targeting flows in lower reaches. If flows are >300 ML/day open lagoon regulators to facilitate throughflow.,1 event per year each year (opening of lower landscape regulators is opportunistic) Max. 2 in 3 years for opening lagoon regulators (to maintain aquatic community structure),Approx. 3 months (mid-May to mid-August),,,As per Section 6.3.1.1 (page 72) and Table 22 (page 77) of Gunbower EWMP. Magnitude to vary depending on conditions (i.e. lower end of range if delivering to forest) however flows to occur in all years. Close lagoon regulators if levels in the creek begin
Ra_0000016,PU_0000211,"Trigger native fish movement; redistribute sediments, scour biofilms, inundate littoral zones; create fast flowing habitat; increase feeding and movement and decrease risk for platypus and turtle.",TRUE,TRUE,FALSE,TRUE,,,June,November,Winter-spring high flow,High-flow-season base flows,Flow variability: (+/-) 50–100 ML/day Including ramp up and down to integrate with preceding and proceeding flows; No prescribed flow as targeting flows in lower reaches,"1 event per year, every 2 in 3 years",Up to 3 months,,,As per Section 6.3.1.2 (page 73) and Table 22 (page 77) of Gunbower EWMP.
Ra_0000017,PU_0000211,"Ensure year round habitat connectivity for survival of native fish larvae; maintain a minimum water level for native vegetation during spring growth and recruitment; maintain feeding habitat and reduce predation risk for Platypus, turtles and frogs; dilut",TRUE,TRUE,FALSE,TRUE,,,August,May,Spring-autumn base flow,Base flow,Flow variability: (+/-) 50–100 ML/day where possible; No prescribed flow as targeting flows in lower reaches,"1 event per year, each year. Opportunistic opening of regulators depending on conditions.",Up to 8 months,,,As per Section 6.3.1.3 (page 73–74) and Table 22 (page 77) of Gunbower EWMP. Flow likely to be exceeded due to irrigation demand. Flow can be adjusted to dilute water entering creek from a forest watering event (i.e. to maintain habitable DO in creek D/S
Ra_0000018,PU_0000212,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,August,October,Spring-summer modified fresh – Spring ramp-up,Fresh,<100 ML/day rate during ramp up and down to integrate with preceding and proceeding flows. Ramp up needs to provide a pulse larger than that of the preceding flow (i.e. if base flows is 250 ML/day pulse may be >450 ML/day) to trigger objective; Final flow level 400–700 ML/day,"1 event per year, every 2 in 3 years",10–15 days to ramp up,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
Ra_0000019,PU_0000212,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,October,January,Spring-summer modified fresh – Spring-summer hold,Fresh,400–700 ML/d; Daily flow variability during the hold component not to not exceed a fall of 50 cm/day downstream of Cohuna Weir,"1 event per year, every 2 in 3 years",3.5 months hold phase,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
Ra_0000020,PU_0000212,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,January,February,Spring-summer modified fresh – Summer ramp-down,Fresh,gradual recession; return to irrigation flows or spring-autumn base flows,"1 event per year, every 2 in 3 years",< 1 month,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
Ra_0000021,PU_0000212,A controlled autumn drawdown is recommended each year for the entire Gunbower Creek System to mitigate the impacts of a sudden drop in water level that occurs at the end of the irrigation season. The flow aims to gradually reduce water levels by approxima,TRUE,TRUE,FALSE,TRUE,,,May,May,Autumn ramp-down,Other,Recommended to not exceed 25–50 ML/day rate of fall; Slow recession in flow rate to meet winter base flow targets (see winter base flow),"1 event per year, every year",approx. 2 weeks,,,As per Section 6.3.1.5 (pages 74–75) and Table 22 (page 78) of Gunbower EWMP. Integrate with winter low flow.
Ra_0000022,PU_0000212,Opportunities to mimic a pulse flow event in the Murray River System should be adopted to provide a trigger for fish to recolonise the Gunbower Creek System. Recolonisation flows may occur anytime between October and April and are linked to the target val,TRUE,FALSE,FALSE,FALSE,,"Opportunistic – Parameters that may impact on the opportunity to deliver these flow components include GMW maintenance works, delivery forest, source water quality, environmental water allocations and unregulated flow conditions.",October,April,Recolonisation flow,Other,100 ML/day rate during ramp up and down to integrate with preceding and proceeding flows; No prescribed flow as targeting flows in lower reaches,Opportunistic events,5–15 days,,,Triggered by pulse @ Torrumbarry.—Flow in response to Murray River pulse (i.e. piggy back on rain rejection event).—As per Section 6.3.1.5 (page 75) and Table 22 (page 78) of Gunbower EWMP.
Ra_0000023,PU_0000212,"Supporting native fish survival and condition, playtpus feeding and survival, connectivity/movement/flow of biota and nutrients, supporting aquatic plants and biofilms.",TRUE,TRUE,FALSE,TRUE,,,May,August,Winter base flow,Base flow,250–300 ML/d; Vary the magnitude of flows to match natural conditions,1 event per year each year (opening of lower landscape regulators is opportunistic) Max. 2 in 3 years for opening lagoon regulators (to maintain aquatic community structure),Approx. 3 months (mid-May to mid-August),,,As per Section 6.3.1.1 (page 72) and Table 22 (page 77) of Gunbower EWMP. Magnitude to vary depending on conditions (i.e. lower end of range if delivering to forest) however flows to occur in all years. Close lagoon regulators if levels in the creek begin
Ra_0000024,PU_0000212,"Trigger native fish movement; redistribute sediments, scour biofilms, inundate littoral zones; create fast flowing habitat; increase feeding and movement and decrease risk for platypus and turtle.",TRUE,TRUE,FALSE,TRUE,,,June,November,Winter-spring high flow,High-flow-season base flows,"1,200 ML/day. N.B. during forest water years majority of flow may be diverted @ Hipwell Road; (+/-) 50–100 ML/day Including ramp up and down to integrate with preceding and proceeding flows","1 event per year, every 2 in 3 years",Up to 3 months,,,As per Section 6.3.1.2 (page 73) and Table 22 (page 77) of Gunbower EWMP.
Ra_0000025,PU_0000212,"Ensure year round habitat connectivity for survival of native fish larvae; maintain a minimum water level for native vegetation during spring growth and recruitment; maintain feeding habitat and reduce predation risk for Platypus, turtles and frogs; dilut",TRUE,TRUE,FALSE,TRUE,,,August,May,Spring-autumn base flow,Base flow,Flow variability: (+/-) 50–100 ML/day where possible; No prescribed flow as targeting flows in lower reaches,"1 event per year, each year. Opportunistic opening of regulators depending on conditions.",Up to 8 months,,,As per Section 6.3.1.3 (page 73–74) and Table 22 (page 77) of Gunbower EWMP. Flow likely to be exceeded due to irrigation demand. Flow can be adjusted to dilute water entering creek from a forest watering event (i.e. to maintain habitable DO in creek D/S
Ra_0000026,PU_0000213,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,August,October,Spring-summer modified fresh – Spring ramp-up,Fresh,Final flow level 400–500 ML/da; <100 ML/day rate during ramp up and down to integrate with preceding and proceeding flows. Ramp up needs to provide a pulse larger than that of the preceding flow (i.e. if base flows is 250 ML/day pulse may be >450 ML/day) to trigger objective.,"1 event per year, every 2 in 3 years",10–15 days to ramp up,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
Ra_0000027,PU_0000213,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,October,January,Spring-summer modified fresh – Spring-summer hold,Fresh,400–500 ML/d; Daily flow variability during the hold component not to not exceed a fall of 50 cm/day downstream of Cohuna Weir,"1 event per year, every 2 in 3 years",3.5 months hold phase,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
Ra_0000028,PU_0000213,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,January,February,Spring-summer modified fresh – Summer ramp-down,Fresh,gradual recession; return to irrigation flows or spring-autumn base flows,"1 event per year, every 2 in 3 years",< 1 month,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
Ra_0000029,PU_0000213,A controlled autumn drawdown is recommended each year for the entire Gunbower Creek System to mitigate the impacts of a sudden drop in water level that occurs at the end of the irrigation season. The flow aims to gradually reduce water levels by approxima,TRUE,TRUE,FALSE,TRUE,,,May,May,Autumn ramp-down,Other,Recommended to not exceed 25–50 ML/day rate of fall; Slow recession in flow rate to meet winter base flow targets (see winter base flow),"1 event per year, every year",approx. 2 weeks,,,As per Section 6.3.1.5 (pages 74–75) and Table 22 (page 78) of Gunbower EWMP. Integrate with winter low flow.
Ra_0000030,PU_0000213,Opportunities to mimic a pulse flow event in the Murray River System should be adopted to provide a trigger for fish to recolonise the Gunbower Creek System. Recolonisation flows may occur anytime between October and April and are linked to the target val,TRUE,FALSE,FALSE,FALSE,,"Opportunistic – Parameters that may impact on the opportunity to deliver these flow components include GMW maintenance works, delivery forest, source water quality, environmental water allocations and unregulated flow conditions.",October,April,Recolonisation flow,Other,600–800 ML/d; 100 ML/day rate during ramp up and down to integrate with preceding and proceeding flows,Opportunistic events,5–15 days,,,Triggered by pulse @ Torrumbarry.—Flow in response to Murray River pulse (i.e. piggy back on rain rejection event).—As per Section 6.3.1.5 (page 75) and Table 22 (page 78) of Gunbower EWMP.
Ra_0000031,PU_0000213,"Supporting native fish survival and condition, playtpus feeding and survival, connectivity/movement/flow of biota and nutrients, supporting aquatic plants and biofilms.",TRUE,TRUE,FALSE,TRUE,,,May,August,Winter base flow,Base flow,250–500 ML/d; Vary the magnitude of flows to match natural conditions,1 event per year each year (opening of lower landscape regulators is opportunistic) Max. 2 in 3 years for opening lagoon regulators (to maintain aquatic community structure),Approx. 3 months (mid-May to mid-August),,,As per Section 6.3.1.1 (page 72) and Table 22 (page 77) of Gunbower EWMP. Magnitude to vary depending on conditions (i.e. lower end of range if delivering to forest) however flows to occur in all years. Close lagoon regulators if levels in the creek begin
Ra_0000032,PU_0000213,"Trigger native fish movement; redistribute sediments, scour biofilms, inundate littoral zones; create fast flowing habitat; increase feeding and movement and decrease risk for platypus and turtle.",TRUE,TRUE,FALSE,TRUE,,,June,November,Winter-spring high flow,High-flow-season base flows,"Flow variability: (+/-) 50–100 ML/day Including ramp up and down to integrate with preceding and proceeding flows; Amount not specified. ""Pass flow through reach to return to Murray River or if watering forest maintain winter base flow conditions D/S Hipwell Road (see winter base flow for Reach 3a and Reach 3b).""","1 event per year, every 2 in 3 years",Up to 3 months,,,As per Section 6.3.1.2 (page 73) and Table 22 (page 77) of Gunbower EWMP.
Ra_0000033,PU_0000213,"Ensure year round habitat connectivity for survival of native fish larvae; maintain a minimum water level for native vegetation during spring growth and recruitment; maintain feeding habitat and reduce predation risk for Platypus, turtles and frogs; dilut",TRUE,TRUE,FALSE,TRUE,,,August,May,Spring-autumn base flow,Base flow,"> 400 ML/d. If forest inundated, open lower landscape regulators to facilitate bidirectional flow; Flow variability: (+/-) 50–100 ML/day where possible","1 event per year, each year. Opportunistic opening of regulators depending on conditions.",Up to 8 months,,,As per Section 6.3.1.3 (page 73–74) and Table 22 (page 77) of Gunbower EWMP. Flow likely to be exceeded due to irrigation demand. Flow can be adjusted to dilute water entering creek from a forest watering event (i.e. to maintain habitable DO in creek D/S
Ra_0000034,PU_0000214,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,August,October,Spring-summer modified fresh – Spring ramp-up,Fresh,Pass entire flow through reach; flow variability: <100 ML/day rate during ramp up and down to integrate with preceding and proceeding flows. Ramp up needs to provide a pulse larger than that of the preceding flow (i.e. if base flows is 250 ML/day pulse may be >450 ML/day) to trigger objective.,"1 event per year, every 2 in 3 years",10–15 days to ramp up,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
Ra_0000035,PU_0000214,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,October,January,Spring-summer modified fresh – Spring-summer hold,Fresh,Pass entire flow through reach. Daily flow variability during the hold component not to not exceed a fall of 50 cm/day downstream of Cohuna Weir,"1 event per year, every 2 in 3 years",3.5 months hold phase,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
Ra_0000036,PU_0000214,The ‘Spring-summer modified fresh’ is recommended to provide flows targeting recruitment of large-bodied fish such as Murray Cod. This flow is targeted at reaches 2 and 3b (priority habitats for Murray cod) and is designed to target critical life stages f,TRUE,TRUE,FALSE,TRUE,,,January,February,Spring-summer modified fresh – Summer ramp-down,Fresh,return to irrigation flows or spring-autumn base flows. Gradual recession,"1 event per year, every 2 in 3 years",< 1 month,,,"As per Section 6.3.1.4 (page 74) and Table 22 (page 78) of Gunbower EWMP. Flow to occur in
alternative watering
years to forest due to
flow volume required
D/S of Hipwell Road."
Ra_0000037,PU_0000214,A controlled autumn drawdown is recommended each year for the entire Gunbower Creek System to mitigate the impacts of a sudden drop in water level that occurs at the end of the irrigation season. The flow aims to gradually reduce water levels by approxima,TRUE,TRUE,FALSE,TRUE,,,May,May,Autumn ramp-down,Other,Slow recession in flow rate to meet winter base flow targets (see winter base flow). Flow variability: Recommended to not exceed 25–50 ML/day rate of fall,"1 event per year, every year",approx. 2 weeks,,,As per Section 6.3.1.5 (pages 74–75) and Table 22 (page 78) of Gunbower EWMP. Integrate with winter low flow.
Ra_0000038,PU_0000214,Opportunities to mimic a pulse flow event in the Murray River System should be adopted to provide a trigger for fish to recolonise the Gunbower Creek System. Recolonisation flows may occur anytime between October and April and are linked to the target val,TRUE,FALSE,FALSE,FALSE,,"Opportunistic – Parameters that may impact on the opportunity to deliver these flow components include GMW maintenance works, delivery forest, source water quality, environmental water allocations and unregulated flow conditions.",October,April,Recolonisation flow,Other,600–800 ML/d; Flow variability: 100 ML/day rate during ramp up and down to integrate with preceding and proceeding flows,Opportunistic events,5–15 days,,,Triggered by pulse @ Torrumbarry.—Flow in response to Murray River pulse (i.e. piggy back on rain rejection event).—As per Section 6.3.1.5 (page 75) and Table 22 (page 78) of Gunbower EWMP.
Ra_0000039,PU_0000214,"Supporting native fish survival and condition, playtpus feeding and survival, connectivity/movement/flow of biota and nutrients, supporting aquatic plants and biofilms.",TRUE,TRUE,FALSE,TRUE,,,May,August,Winter base flow,Base flow,> 150 ML/d; Vary the magnitude of flows to match natural conditions,1 event per year each year (opening of lower landscape regulators is opportunistic) Max. 2 in 3 years for opening lagoon regulators (to maintain aquatic community structure),Approx. 3 months (mid-May to mid-August),,,As per Section 6.3.1.1 (page 72) and Table 22 (page 77) of Gunbower EWMP. Magnitude to vary depending on conditions (i.e. lower end of range if delivering to forest) however flows to occur in all years. Close lagoon regulators if levels in the creek begin
Ra_0000040,PU_0000214,"Trigger native fish movement; redistribute sediments, scour biofilms, inundate littoral zones; create fast flowing habitat; increase feeding and movement and decrease risk for platypus and turtle.",TRUE,TRUE,FALSE,TRUE,,,June,November,Winter-spring high flow,High-flow-season base flows,"Amount not specified. ""Pass flow through reach to return to Murray River or if watering forest maintain winter base flow conditions D/S Hipwell Road (see winter base flow for Reach 3a and Reach 3b).""; flow variability: (+/-) 50–100 ML/day Including ramp up and down to integrate with preceding and proceeding flows","1 event per year, every 2 in 3 years",Up to 3 months,,,As per Section 6.3.1.2 (page 73) and Table 22 (page 77) of Gunbower EWMP.
Ra_0000041,PU_0000214,"Ensure year round habitat connectivity for survival of native fish larvae; maintain a minimum water level for native vegetation during spring growth and recruitment; maintain feeding habitat and reduce predation risk for Platypus, turtles and frogs; dilut",TRUE,TRUE,FALSE,TRUE,,,August,May,Spring-autumn base flow,Base flow,> 150 ML/d; flow variability: (+/-) 50–100 ML/day where possible,"1 event per year, each year. Opportunistic opening of regulators depending on conditions.",Up to 8 months,,,As per Section 6.3.1.3 (page 73–74) and Table 22 (page 77) of Gunbower EWMP. Flow likely to be exceeded due to irrigation demand. Flow can be adjusted to dilute water entering creek from a forest watering event (i.e. to maintain habitable DO in creek D/S
Ra_0000042,PU_0000001,"2a, 3c, 3d.2 Can only survive 2 years of not being met sequentially",FALSE,TRUE,TRUE,FALSE,,,August,October,Peak,Other,,2 out of 4 years,Aug - Oct,≥77.9 mAHD,,
Ra_0000043,PU_0000001,"3c, 3d.1",FALSE,FALSE,TRUE,FALSE,,,August,October,Minimum,Other,,2 out of 4 years,Aug - Oct,77.7 mAHD,,
Ra_0000044,PU_0000001,3d.3 Fauna reasons,FALSE,FALSE,TRUE,TRUE,,,August,October,Rate,Other,,in years where macrophytes flooded,Aug - Oct,,,Max rate of fall: drop of 0.2 m over 2 weeks
Ra_0000045,PU_0000001,"2a, 2c, 3c, 4d: Expose benches; can only survive 2 years of not being met sequentially",TRUE,TRUE,TRUE,FALSE,,,February,May,Maximum,Other,,2 out of 4 years,Feb - May,77.3 mAHD,,
Ra_0000046,PU_0000001,4e; Fish Spawning,TRUE,FALSE,FALSE,FALSE,,,September,November,Fresh,Fresh,,"once in spring
2 in 3 years",3 days,≥78 mAHD,,
Ra_0000047,PU_0000001,"3b.2, 4a, 4c; Refuge (Definition of Refuge see Comments/Notes)",TRUE,FALSE,TRUE,FALSE,,,December,March,N/A,N/A,,"2 out of 4 years
worst year 76.65 mAHD",always greater than 76.65 mAHD,77.4 mAHD; worst year 76.65 mAHD,,"Aquatic refuge habitat - assuming no pools, as insufficient data available. Fish require 1.5 m (turtles require less ~0.5 m). A depth of 1 m may be tolerated in very dry years. Deep pools are known to exist in Gunbower Creek but they have not been well do"
Ra_0000048,PU_0000001,"3b.2, 4a, 4c; Refuge (Definition of Refuge see Comments/Notes)
4f connectivity to lagoons",TRUE,FALSE,TRUE,FALSE,,,April,November,N/A,N/A,,2 out of 4 years,always greater than 76.5 mAHD,76.7 mAHD; worst year 76.5 mAHD,,"Aquatic refuge habitat - assuming no pools, as insufficient data available. Fish require 1.5 m (turtles require less ~0.5 m) (Cadwallader 1978; Treadwell and Hardwick, 2003). A depth of 1 m may be tolerated in very dry years. Deep pools are known to exist"
Ra_0000049,PU_0000001,4b maintain low nutrient and moderate DO,TRUE,FALSE,FALSE,FALSE,,,December,March,Low Flow Fresh,Low-flow-season freshes,,"2 spring, 2 summer",2 days each,77.5 m AHD,,
Ra_0000050,PU_0000001,4g: Max. 120 mm per day - fish reasons; 1d.2: Max. 120 mm per day to minimise risk of bank slumping,TRUE,FALSE,FALSE,FALSE,,,N/A,N/A,Maximum rate of fall,Other,,,,,,
Ra_0000051,PU_0000003,"2a, 3c, 4d: Expose benches; can only survive
2 years of not being met sequentially",TRUE,TRUE,TRUE,FALSE,,,February,May,Maximum,Other,,2 out of 4 years,Feb-May,<84.1 mAHD,,can only survive 2 years of not being met sequentially
Ra_0000052,PU_0000003,"4e, 2a: Flooding of benches",TRUE,TRUE,FALSE,FALSE,,,September,November,Fresh,Fresh,"≥1,680 ML/d",once in spring 2 in 3 years,3 days,≥84.7 mAHD,,
Ra_0000053,PU_0000003,Objective 3b.2 and 4a; aquatic Refuge habitat (Definition of Refuge see Comments/Notes),TRUE,FALSE,TRUE,FALSE,,,December,June,N/A,N/A,,2 out of 3 years worst year 83.0 mAHD,always greater than 83.0 mAHD,83.5 mAHD,,"Aquatic refuge habitat - assuming no pools, as insufficient data available. Fish require 1.5 m (turtles require less ~0.5 m). A depth of 1 m may be tolerated in very dry years. Deep pools are known to exist in Gunbower Creek but they have not been well do"
Ra_0000054,PU_0000003,"4f connectivity to lagoons; 
4b maintain low nutrient and moderate DO",TRUE,FALSE,FALSE,FALSE,,,December,March,Low Flow Fresh,Low-flow-season freshes,,"2 spring, 2 summer",2 days each,84.0 mAHD,,
Ra_0000055,PU_0000003,"1a: Sands and fine gravels (if present) mobilised; 
1b: Coarse silt scoured",FALSE,FALSE,FALSE,TRUE,,,Any time,Any time,Bank full,Bank-full,"3,870 ML/d",Annual,~7days,85.25 mAHD,,
Ra_0000056,PU_0000003,4g: Max. 120 mm per day - fish reasons; 1d.2: Max. 120 mm per day to minimise risk of bank slumping,TRUE,FALSE,FALSE,FALSE,,,N/A,N/A,Maximum rate of fall,Other,,,,,,Max rate of fall: 120 mm per day
Ra_0000057,PU_0000004,"2a, 3c, 3d.2 Can only survive 2 years of not being met sequentially.",FALSE,TRUE,TRUE,FALSE,,,August,October,Peak,Other,"≥1,020 ML/d",2 out of 4 years,Aug-Oct,≥82.2 mAHD,,
Ra_0000058,PU_0000004,"3c, 3d.1",FALSE,FALSE,TRUE,FALSE,,,August,October,Minimum,Other,,2 out of 4 years,Aug-Oct,81.9 mAHD,,
Ra_0000059,PU_0000004,Objective 3d.3 only; Fauna reasons,FALSE,FALSE,TRUE,FALSE,,,August,October,Rate,Other,,in years where macrophytes flooded,Aug-Oct,,,Max rate of fall: drop of 0.2 m over 2 weeks
Ra_0000060,PU_0000004,"2a, 2c, 3c, 4d: Expose benches; can only survive 2 years of not being met sequentially",TRUE,TRUE,TRUE,FALSE,,,February,May,Maximum,Other,,2 out of 4 years,Feb-May,<81.3 mAHD,,
